merge_kecamatan,Latitude,Longitude
"Tahunan,Jepara,Jawa Tengah",-6.6242456,110.6939525
"Gajah,Demak,Jawa Tengah",-6.9030449,110.7476445
"Suruh,Semarang,Jawa Tengah",-7.33376,110.5903499
"Tembarak,Temanggung,Jawa Tengah",-7.3549225,110.1562064
"Buaran,Pekalongan,Jawa Tengah",-6.938753,109.658918
"Slawi,Tegal,Jawa Tengah",-6.9848181,109.1310517
"Bumijawa,Tegal,Jawa Tengah",-7.1883415,109.132429
"Kersana,Brebes,Jawa Tengah",-6.9300505,108.8699955
"Bantarkawung,Brebes,Jawa Tengah",-7.216267,108.8978555
"Magelang Utara,Magelang,Jawa Tengah",-7.460209,110.2223204
"Jebres,Surakarta,Jawa Tengah",-7.5542155,110.8485569
"Pasar Kliwon,Surakarta,Jawa Tengah",-7.5799495,110.8322285
"Argomulyo,Salatiga,Jawa Tengah",-7.3262536,110.4970855
"Pedurungan,Semarang,Jawa Tengah",-7.0016445,110.4767115
"Tegal Barat,Tegal,Jawa Tengah",-6.8618099,109.112117
"Wates,Kulon Progo,D I Yogyakarta",-7.8858295,110.1280445
"Pandak,Bantul,D I Yogyakarta",-7.924274,110.284855
"Jetis,Bantul,D I Yogyakarta",-7.9099434,110.3663625
"Piyungan,Bantul,D I Yogyakarta",-7.845093,110.4709405
"Banguntapan,Bantul,D I Yogyakarta",-7.823704,110.4028529
"Sewon,Bantul,D I Yogyakarta",-7.8559454,110.3520565
"Ponjong,Gunung Kidul,D I Yogyakarta",-7.9701935,110.723815
"Karangmojo,Gunung Kidul,D I Yogyakarta",-7.9334759,110.6659115
"Gedang Sari,Gunung Kidul,D I Yogyakarta",-7.842317,110.603247
"Depok,Sleman,D I Yogyakarta",-7.7623815,110.4086255
"Kotagede,Yogyakarta,D I Yogyakarta",-7.817842,110.3976435
"Gondokusuman,Yogyakarta,D I Yogyakarta",-7.7864285,110.3827675
"Gondomanan,Yogyakarta,D I Yogyakarta",-7.8020895,110.3674169
"Ngampilan,Yogyakarta,D I Yogyakarta",-7.8020925,110.3579634
"Wirobrajan,Yogyakarta,D I Yogyakarta",-7.8028914,110.3500539
"Jetis,Yogyakarta,D I Yogyakarta",-7.7816015,110.36332
"Ponorogo,Ponorogo,Jawa Timur",-7.8716625,111.4691439
"Watulimo,Trenggalek,Jawa Timur",-8.2653119,111.7145365
"Ngunut,Tulungagung,Jawa Timur",-8.1196694,112.003482
"Sumbergempol,Tulungagung,Jawa Timur",-8.0997045,111.9527845
"Nglegok,Blitar,Jawa Timur",-8.0037615,112.234011
"Sutojayan,Blitar,Jawa Timur",-8.17813,112.2291106
"Pagu,Kediri,Jawa Timur",-7.7803294,112.0869001
"Pagelaran,Malang,Jawa Timur",-8.1976345,112.600061
"Sumbermanjing,Malang,Jawa Timur",-8.3449751,112.724281
"Pakis,Malang,Jawa Timur",-7.9620924,112.7082141
"Jatiroto,Lumajang,Jawa Timur",-8.1286795,113.3246474
"Sukodono,Lumajang,Jawa Timur",-8.105544,113.2336866
"Patrang,Jember,Jawa Timur",-8.1266385,113.7059876
"Kabat,Banyuwangi,Jawa Timur",-8.2701565,114.3079741
"Tegaldlimo,Banyuwangi,Jawa Timur",-8.613517,114.436426
"Maesan,Bondowoso,Jawa Timur",-8.0167715,113.7407145
"Banyuglugur,Situbondo,Jawa Timur",-7.7571671,113.6282715
"Kendit,Situbondo,Jawa Timur",-7.741632,113.91547
"Gending,Probolinggo,Jawa Timur",-7.7968181,113.3175615
"Wonoayu,Sidoarjo,Jawa Timur",-7.4279084,112.629199
"Gedangan,Sidoarjo,Jawa Timur",-7.3893555,112.7282635
"Pungging,Mojokerto,Jawa Timur",-7.5361719,112.5733629
"Mojowarno,Jombang,Jawa Timur",-7.622733,112.3097124
"Prambon,Nganjuk,Jawa Timur",-7.465776,112.579505
"Dagangan,Madiun,Jawa Timur",-7.7232829,111.59995
"Barat,Magetan,Jawa Timur",-7.5543465,111.4686465
"Kendal,Ngawi,Jawa Timur",-7.5600605,111.2777975
"Rengel,Tuban,Jawa Timur",-7.0826879,112.0196885
"Modo,Lamongan,Jawa Timur",-7.2016595,112.1320051
"Sukorame,Lamongan,Jawa Timur",-7.3449539,112.110199
"Manyar,Gresik,Jawa Timur",-7.0953314,112.5922771
"Ujungpangkah,Gresik,Jawa Timur",-6.9098551,112.5525515
"Konang,Bangkalan,Jawa Timur",-7.0450826,113.0518025
"Geger,Bangkalan,Jawa Timur",-7.000879,112.9330264
